Year,Quarter,Region,Economic Activity,Enterprise size,Number of enterprises,Number of Saudi employees,Number of Saudi male employees,Number of Saudi female employees,Number of Non Saudi employees,Number of Non Saudi male employees,Number of Non Saudi female employees
2023,1,Eastern Region,"Travel agencies, tour operators, reservation services and related activities",Small,54,320,137,183,523,516,7
2023,1,Eastern Region,"Travel agencies, tour operators, reservation services and related activities",Large,1,221,207,14,213,212,1
2023,1,Eastern Region,"Travel agencies, tour operators, reservation services and related activities",Micro,184,122,65,57,287,285,2
2023,1,Eastern Region,"Travel agencies, tour operators, reservation services and related activities",Medium,6,239,130,109,329,326,3
2023,1,Al Bahah Region,"Travel agencies, tour operators, reservation services and related activities",Micro,7,2,2,0,13,13,0
2023,1,Al-Jawf Region,"Travel agencies, tour operators, reservation services and related activities",Small,3,12,8,4,23,23,0
2023,1,Al-Jawf Region,"Travel agencies, tour operators, reservation services and related activities",Micro,17,6,2,4,33,33,0
2023,1,Northern border Region,"Travel agencies, tour operators, reservation services and related activities",Small,1,4,4,0,26,26,0
2023,1,Northern border Region,"Travel agencies, tour operators, reservation services and related activities",Micro,12,2,2,0,26,26,0
2023,1,Riyadh Region,"Travel agencies, tour operators, reservation services and related activities",Small,159,898,365,533,1322,1287,35
2023,1,Riyadh Region,"Travel agencies, tour operators, reservation services and related activities",Large,2,312,187,125,319,313,6
2023,1,Riyadh Region,"Travel agencies, tour operators, reservation services and related activities",Micro,411,226,98,128,738,712,26
2023,1,Riyadh Region,"Travel agencies, tour operators, reservation services and related activities",Medium,18,681,364,317,1046,1035,11
2023,1,Qassim Region,"Travel agencies, tour operators, reservation services and related activities",Small,13,31,16,15,94,92,2
2023,1,Qassim Region,"Travel agencies, tour operators, reservation services and related activities",Micro,80,24,11,13,158,157,1
2023,1,Medina Region,"Travel agencies, tour operators, reservation services and related activities",Small,28,134,58,76,254,249,5
2023,1,Medina Region,"Travel agencies, tour operators, reservation services and related activities",Micro,145,84,47,37,233,225,8
2023,1,Tabuk Region,"Travel agencies, tour operators, reservation services and related activities",Small,7,30,19,11,75,75,0
2023,1,Tabuk Region,"Travel agencies, tour operators, reservation services and related activities",Micro,40,16,7,9,67,64,3
2023,1,Jazan Region,"Travel agencies, tour operators, reservation services and related activities",Small,2,9,2,7,17,17,0
2023,1,Jazan Region,"Travel agencies, tour operators, reservation services and related activities",Micro,26,15,6,9,41,41,0
2023,1,Hail Region,"Travel agencies, tour operators, reservation services and related activities",Small,8,31,12,19,67,65,2
2023,1,Hail Region,"Travel agencies, tour operators, reservation services and related activities",Micro,20,10,8,2,42,42,0
2023,1,Asir Region,"Travel agencies, tour operators, reservation services and related activities",Small,2,11,4,7,19,19,0
2023,1,Asir Region,"Travel agencies, tour operators, reservation services and related activities",Micro,59,32,17,15,113,113,0
2023,1,Makkah Region,"Travel agencies, tour operators, reservation services and related activities",Small,200,846,500,346,1635,1603,32
2023,1,Makkah Region,"Travel agencies, tour operators, reservation services and related activities",Large,1,249,240,9,32,31,1
2023,1,Makkah Region,"Travel agencies, tour operators, reservation services and related activities",Micro,721,490,295,195,1230,1198,32
